id,title,company,location,salary,posted,tags,url,date_found
89808,Frontend Engineer,Silo Finance,Remote,$110k - $140k,3d,"engineer, front end, react, tailwind, typescript",https://web3.career/front-end-engineer-silo-finance/89808,2024-12-16
88934,Junior Frontend Engineer,Rampnetwork,Remote,$122k - $150k,4d,"engineer, front end, junior, entry level, blockchain",https://web3.career/junior-frontend-engineer-rampnetwork/88934,2024-12-16
89563,Frontend Engineer Firedancer,Jumpcrypto,Remote,$175k - $225k,6d,"engineer, front end, crypto, kubernetes, react",https://web3.career/front-end-engineer-firedancer-jumpcrypto/89563,2024-12-16
89521,Frontend Engineer,Wallet,Remote,$73k - $112k,6d,"engineer, front end, blockchain, crypto, typescript",https://web3.career/frontend-engineer-wallet/89521,2024-12-16
81848,Frontend Engineer,SideShift.ai,Remote,$50k - $80k,6d,"engineer, front end, blockchain, crypto, graphql",https://web3.career/frontend-engineer-sideshift-ai/81848,2024-12-16
89422,Frontend Engineer,Hyphenconnect,Remote,$94k - $105k,7d,"engineer, front end, crypto, defi, javascript",https://web3.career/frontend-engineer-hyphenconnect/89422,2024-12-16
88993,Junior Frontend Engineer,Wallet,Remote,$45k - $72k,9d,"engineer, front end, junior, entry level, blockchain",https://web3.career/junior-frontend-engineer-wallet/88993,2024-12-16
88781,Frontend Developer,Baby Doge,Remote,$85k - $148k,10d,"dev, front end, remote, gaming, react",https://web3.career/frontend-developer-baby-doge/88781,2024-12-16
88627,FrontEnd Software Engineer,SwissBorg,Remote,$50k - $100k,12d,"engineer, front end, dev, remote, gaming",https://web3.career/front-end-software-engineer-swissborg/88627,2024-12-16
88687,Frontend Engineer Customer Experience,Whatnot,Remote,$84k - $105k,12d,"customer support, engineer, front end, javascript, react",https://web3.career/frontend-engineer-customer-experience-whatnot/88687,2024-12-16
88567,Software Engineer Wallet Services Front End,Alchemy,Remote,$135k - $350k,13d,"engineer, front end, dev, blockchain, react",https://web3.career/software-engineer-wallet-services-front-end-alchemy/88567,2024-12-16
88566,Software Engineer Developer Experience Front End,Alchemy,Remote,$135k - $350k,13d,"dev, engineer, front end, blockchain, react",https://web3.career/software-engineer-developer-experience-front-end-alchemy/88566,2024-12-16
88101,Defi Frontend Developer,Time Research,Remote,$126k - $127k,16d,"dev, front end, blockchain, dapp, ethereum",https://web3.career/defi-frontend-developer-timeresearch/88101,2024-12-16
87418,FrontEnd Developer React + Next.js,Launchpadtechnologiesinc,Remote,$84k - $105k,23d,"nextjs, javascript, dev, react, node",https://web3.career/front-end-developer-react-next-js-launchpadtechnologiesinc/87418,2024-12-16
87350,Senior Frontend Engineer,prePO,Remote,$90k - $150k,23d,"engineer, front end, senior, blockchain, crypto",https://web3.career/senior-frontend-engineer-prepo/87350,2024-12-16
87349,Frontend Engineer,ParaSwap,Remote,$91k - $117k,23d,"engineer, front end, blockchain, defi, ethereum",https://web3.career/front-end-engineer-paraswap/87349,2024-12-16
87233,FrontEnd Developer,Etoro,Remote,$91k - $100k,24d,"dev, front end, angular, bitcoin, ethereum",https://web3.career/frontend-developer-etoro/87233,2024-12-16
86824,Founding Engineer Remote,RockSolid Network,Remote,$150k - $200k,27d,"founding engineer, engineer, founding member, remote, backend",https://web3.career/founding-engineer-remote-rocksolid-network/86824,2024-12-16
